claim_id,policy_number,claimant_name,claimant_email,claimant_phone,claim_type,claim_date,description,claimed_amount,assessed_amount,status,settlement_date,assessor
CLM-130359,RAA-289179,Mr. Thomas Miller,michaelcooper@example.org,0444 819 880,Water Damage,12/04/2024,Laboriosam labore ipsa possimus eum error repellat beatae sed officia perspiciatis cum voluptates doloribus cupiditate.,69154.55,11048.05,Under Assessment,05-23-2024,Justin Mullen
CLM-763928,RAA-132146,Lori Lopez,vfoster@example.net,0421 864 643,Theft,20/09/2024,Ipsum inventore a dolor eius provident recusandae neque reiciendis modi.,28526.48,9613.07,Approved,,Craig Wilson
CLM-155164,RAA-263137,Kelsey Fowler,lcarr@example.org,0430 872 732,Property Damage,26/08/2025,Explicabo itaque cupiditate perferendis reiciendis ullam nihil perferendis est dolores blanditiis fuga.,50710.67,39783.93,Paid,09-12-2025,James Carlson
CLM-637234,RAA-219346,Cody Reid,angelaburns@example.org,0454 540 213,Water Damage,13/06/2025,Et iste amet facere ab consequatur repellendus vitae magnam.,51027.23,31710.66,Approved,,
CLM-314353,RAA-416061,John Mckinney,fburns@example.net,0437 885 240,Motor Accident,12/04/2025,Recusandae dolore adipisci dolore enim quos natus.,19536.2,662.25,Withdrawn,04-19-2025,Kathleen Dixon
CLM-624563,RAA-685864,Reginald Morrow,amber07@example.net,0495 925 462,Property Damage,11/06/2025,Voluptatibus aut rerum quibusdam error voluptatum ipsum expedita repellendus ipsa.,30081.8,26285.93,Paid,07-17-2025,Patricia Young PhD
CLM-524068,RAA-843963,Shannon Bishop,imartin@example.org,0491 527 396,Property Damage,23/06/2025,Rem necessitatibus minus nisi cumque voluptatem eos nemo veritatis maiores.,30674.91,10478.02,Declined,09-11-2025,Robin Taylor
CLM-985506,RAA-211005,Tamara Riddle,jacquelineanderson@example.org,0441 546 703,Storm Damage,27/10/2025,Repudiandae quis perspiciatis laudantium neque eaque impedit iste odio sunt at maiores.,39535.21,18754.42,Approved,12-28-2025,Timothy Wood
CLM-763984,RAA-219565,Aaron Schroeder,simonstephen@example.net,0477 622 298,Motor Accident,07/04/2025,Sed recusandae id voluptas repudiandae libero eum eligendi molestias consectetur sequi ratione.,26528.46,49173.13,Under Assessment,,Pamela Williams
CLM-731661,RAA-260295,Julia Martinez,scottsmith@example.com,0493 177 281,Motor Accident,23/07/2025,Voluptatum tenetur sunt error soluta soluta at facere assumenda optio.,47282.18,33911.38,Declined,,Amber Garrett
CLM-754858,RAA-438908,Cynthia Rios,smiththomas@example.org,0490 423 254,Storm Damage,08/10/2025,Dolorem perspiciatis ab possimus repellendus voluptates in consequatur architecto fugit quas aut et sunt consequatur quo.,5587.33,18308.66,Approved,01-04-2026,Brandi Haney
CLM-584172,RAA-573866,Justin Bishop,scottbowen@example.net,0414 158 477,Motor Accident,12/07/2024,Ullam nulla ipsam dolor tempore consequuntur commodi quas expedita.,21887.24,58646.64,Open,,Richard Wright
CLM-930281,RAA-874814,Juan Greene,kimberly04@example.org,0415 560 929,Fire,06/08/2025,Non deleniti hic officia quos recusandae dolores harum dolores odit architecto suscipit accusamus facere et.,49061.89,28642.62,Under Assessment,10-22-2025,Ryan Fisher
CLM-460120,RAA-849014,Pamela Best,smithcarlos@example.com,0420 616 761,Theft,22/05/2025,Aliquam aperiam ratione magni occaecati magnam impedit praesentium assumenda modi.,3416.09,59460.96,Declined,09-13-2025,Diamond Collins
CLM-506235,RAA-528625,Valerie Moore,peter14@example.net,0453 795 712,Property Damage,25/04/2025,Quas sed animi assumenda ipsa iste non est qui qui blanditiis provident praesentium.,59297.41,4141.53,Open,06-07-2025,Troy Mills
CLM-992931,RAA-788457,Deanna Watson,jessica10@example.com,0487 994 253,Water Damage,22/11/2025,Earum aperiam quae nemo aspernatur iste facere libero necessitatibus facilis ducimus aut nemo.,6571.9,55021.44,Approved,,Crystal Hicks
CLM-843266,RAA-188834,Alexandria Williams,patrick22@example.org,0449 672 485,Liability,27/04/2024,Rem quae omnis dolore dolorum totam eum repudiandae nemo blanditiis perferendis amet dolore maiores aliquid.,59478.82,40272.96,Withdrawn,07-19-2024,Shawn Cline
CLM-803024,RAA-543973,Erin Tran,woodkelly@example.com,0475 470 118,Water Damage,14/11/2025,Doloribus fuga voluptas voluptatum quod quasi molestias recusandae corrupti ut ad molestiae odio possimus ab ex.,23510.52,20635.59,Paid,,Jamie Rojas
CLM-410160,RAA-985447,Joseph Allen,jwoodward@example.net,0422 619 889,Fire,17/11/2024,At ullam tempore maxime praesentium fuga voluptate assumenda atque consequatur reprehenderit.,62716.43,2457.3,Approved,,Keith Graham
CLM-270128,RAA-289630,Dean Edwards,vhaynes@example.com,0498 889 739,Motor Accident,03/07/2024,Iste doloremque velit consequatur quo autem autem ipsum et blanditiis facere quo.,67747.87,2812.81,Approved,07-29-2024,John Phelps
CLM-888939,RAA-884897,Michael Mckenzie,lewismelissa@example.org,0467 339 646,Theft,02/06/2024,Quae voluptas id aliquid error reprehenderit cupiditate veritatis.,23555.36,28247.13,Under Assessment,07-15-2024,Kristi Pierce
CLM-906814,RAA-395459,Robert Taylor,brownkimberly@example.org,0458 614 640,Storm Damage,05/06/2024,Dicta id placeat vel assumenda nesciunt totam asperiores voluptatum.,72486.98,48115.3,Under Assessment,08-10-2024,Matthew Lamb
CLM-681478,RAA-207573,Sandra Rivera,dunlapbrent@example.net,0476 971 227,Water Damage,03/06/2024,Reprehenderit hic adipisci placeat cupiditate dolor deleniti eius sunt alias nulla doloribus eos.,6748.7,,Paid,07-27-2024,Juan Brown
CLM-956375,RAA-573041,Jason Day,crystalpham@example.org,0454 127 524,Property Damage,27/10/2024,Quos facere molestias laborum totam magnam harum debitis eum dolor tempore quod.,,23292.73,Open,12-01-2024,William Moreno
CLM-849421,RAA-781533,Crystal Moore,dianeadams@example.net,0452 910 249,Theft,09/11/2025,Quisquam veniam nemo voluptatem harum vel voluptatibus cupiditate.,3353.59,28452.8,Under Assessment,03-03-2026,Evan Rojas
CLM-119927,RAA-368355,Alyssa Haynes,annalopez@example.com,0437 955 253,Fire,27/12/2024,Est laudantium at doloremque dolor minima a ullam dicta consectetur quaerat ullam sapiente eum accusantium.,70546.83,25510.63,Approved,01-13-2025,Sylvia Schroeder
CLM-769989,RAA-932463,Holly Jones,vwillis@example.com,0489 568 164,Property Damage,10/01/2026,Consequatur culpa veniam recusandae vero officiis cupiditate voluptas possimus ut ratione dolore.,62833.24,32256.02,Withdrawn,,Casey Parker
CLM-550089,RAA-101640,Christopher Smith,xrosales@example.net,0488 461 346,Fire,09/09/2025,Delectus et repellat nostrum odit aut libero.,31534.29,5319.71,Approved,,
CLM-681070,RAA-121322,Cynthia Haas,daisymccarty@example.net,0459 994 581,Property Damage,06/12/2024,Ipsum eaque dolorum architecto ducimus autem a harum quasi voluptas sunt laudantium.,47857.47,15368.29,Open,02-15-2025,Joshua Garcia
CLM-789023,RAA-758775,Laura Chang,franciscojones@example.org,0423 890 695,Liability,31/03/2025,Accusantium ea autem exercitationem suscipit cum asperiores velit voluptatem excepturi voluptates.,56872.58,,Approved,,Michele Reynolds
CLM-916990,RAA-817941,Steve Moore,riveraterri@example.com,0469 812 590,Liability,13/08/2025,Quam quas eaque eligendi dolores amet nemo saepe corrupti facere incidunt eos optio nobis dicta.,14079.71,,Withdrawn,,Christopher Carter
CLM-145934,RAA-929538,Brian Glover,qburns@example.com,0435 142 423,Water Damage,26/05/2024,Odit harum fuga fugit delectus aliquid ipsam ea.,38896.08,32673.24,Approved,,
