claim_id,policy_number,claimant_name,claimant_email,claimant_phone,claim_type,claim_date,description,claimed_amount,assessed_amount,status,settlement_date,assessor
CLM-526117,RAA-750810,Gabrielle Snyder,hunter35@example.com,0429 342 985,Theft,17/07/2025,Eius nisi sunt nam maxime deleniti dolores illo nam dolores labore quae.,73227.35,52908.69,Open,11-12-2025,Alan Phillips
CLM-941204,RAA-802448,Elizabeth Perkins,wtran@example.com,0441 373 263,Motor Accident,07/02/2025,Ex praesentium earum dolorum blanditiis deserunt blanditiis modi quis delectus dolor laborum quam voluptate minima.,52745.23,2515.73,Paid,04-07-2025,Brian Lee
CLM-960394,RAA-933980,Eric Erickson,joshuamccann@example.net,0439 328 124,Liability,22/09/2024,Possimus commodi sit laudantium sit nemo iusto ipsam delectus amet velit.,14888.17,51888.31,Approved,11-07-2024,Rodney Morales
CLM-662262,RAA-447235,Melissa Hernandez,christopher31@example.net,0413 218 998,Water Damage,26/05/2024,Non ratione dolorem minima ipsum ipsam similique voluptatibus esse numquam non qui veniam.,13803.3,16074.89,Open,09-17-2024,Daniel Guerrero
CLM-735656,RAA-636265,Juan Moore,mhayes@example.com,0424 494 690,Theft,29/07/2024,Adipisci enim eligendi similique architecto doloremque eaque recusandae nihil rem dicta.,19476.83,301.14,Declined,09-29-2024,Danny Hernandez
CLM-481913,RAA-552248,Andrea Martin,brooke94@example.com,0418 780 438,Fire,22/10/2024,Iusto esse illo earum molestiae ipsa nisi suscipit quasi.,23886.72,43241.3,Approved,11-23-2024,Allison Perez
CLM-410016,RAA-681343,Laura Sampson,barbara27@example.net,0426 296 530,Liability,04/09/2025,Totam delectus nesciunt odio laudantium at expedita ex pariatur similique ex possimus enim.,70557.09,54187.77,Declined,12-09-2025,Robin Pierce
CLM-400850,RAA-320392,David Wilson,ahancock@example.net,0465 904 693,Fire,18/03/2025,Iure amet maxime numquam libero ipsam amet eaque consectetur enim sunt laborum adipisci occaecati reiciendis.,49275.57,26641.16,Under Assessment,05-02-2025,Emily Smith
CLM-277934,RAA-790855,Willie Durham,pvalentine@example.org,0420 390 627,Liability,09/02/2025,Ut eos provident impedit laboriosam iusto itaque corporis deleniti nobis quia consequatur architecto quo.,47654.09,49141.72,Under Assessment,05-21-2025,Gina French
CLM-125611,RAA-148458,Diane Evans,cgrimes@example.net,0441 586 725,Motor Accident,23/10/2024,Exercitationem mollitia molestiae iste eum deleniti possimus nemo doloremque quod aliquam quia provident repellat.,57752.46,53190.99,Declined,,Matthew Hoover
CLM-254739,RAA-787926,Andrew Shaw MD,sawyerscott@example.net,0498 105 868,Motor Accident,26/07/2024,Accusamus corporis sit voluptas asperiores quos eaque numquam id aspernatur eveniet perferendis modi veritatis.,57868.44,,Paid,09-02-2024,Stacy Freeman
CLM-152657,RAA-684482,Barry Welch,wendy16@example.org,0441 968 224,Storm Damage,24/05/2025,Ipsam possimus temporibus aliquid recusandae eos fugiat corporis.,10433.76,31961.69,Declined,07-29-2025,Kylie Sparks
CLM-954596,RAA-854213,Leon Reyes,tyleraguilar@example.org,0474 536 950,Fire,09/08/2024,Odit itaque pariatur tempore iure enim molestias asperiores veniam voluptates error vitae porro itaque.,33720.56,,Paid,11-02-2024,Zachary Castaneda
CLM-903013,RAA-915451,Kenneth Andrews,andrew64@example.org,0476 596 741,Theft,20/06/2024,Sint quod voluptate tenetur quia rerum temporibus quod dolorem reiciendis dolor deleniti dolorum quidem quisquam.,20957.51,,Approved,08-01-2024,Breanna Davis
