claim_id,policy_number,claimant_name,claimant_email,claimant_phone,claim_type,claim_date,description,claimed_amount,assessed_amount,status,settlement_date,assessor
CLM-972064,RAA-945964,John Russell,davisryan@example.com,0449 345 159,Theft,01/04/2025,Iure quas perferendis voluptates atque illo excepturi similique dolorum deleniti ipsum in eius.,65911.72,5322.08,Paid,07-29-2025,Thomas Ramos
CLM-234628,RAA-791798,Annette Pearson,novaksara@example.org,0470 662 269,Water Damage,28/01/2026,Illo laboriosam sint temporibus cum a hic unde quos.,39811.7,57868.9,Declined,02-20-2026,Michael Cross
CLM-804314,RAA-781446,Michelle Moore,jeff09@example.net,0457 548 629,Storm Damage,28/11/2025,Aperiam et amet labore ullam minus animi magni sed architecto architecto similique illo velit necessitatibus.,9514.81,20417.52,Declined,01-25-2026,Amanda Miller
CLM-842225,RAA-761759,Kelly Donovan,elizabethedwards@example.com,0417 334 169,Property Damage,22/08/2025,Consectetur officia itaque ut vel ab numquam natus aut modi magni consequatur expedita.,64542.84,,Under Assessment,,David Mitchell
CLM-698782,RAA-704201,Michele Carr,contrerasangela@example.net,0470 348 903,Storm Damage,05/03/2025,Vel consequatur blanditiis autem mollitia earum non quaerat.,60658.53,,Open,06-12-2025,Mark Baker
CLM-864491,RAA-156802,Terry Williams,ccalderon@example.org,0496 769 761,Property Damage,13/04/2025,Quo odio ea qui mollitia incidunt ab asperiores sunt temporibus molestias rerum.,5015.64,48075.43,Open,08-08-2025,Brittany Anderson
CLM-292401,RAA-392075,Timothy Stanton,nolanjason@example.org,0469 355 995,Property Damage,24/11/2024,Explicabo nam soluta voluptate quibusdam unde dolores cum.,33513.24,33109.45,Open,01-24-2025,Cassandra Gutierrez
CLM-197793,RAA-890170,Evelyn Galvan,josephcobb@example.org,0440 270 516,Storm Damage,16/08/2024,Sit similique dolore repellendus itaque esse recusandae dolorem ad deserunt eveniet sint.,36361.2,54166.08,Under Assessment,,Diana May
CLM-922157,RAA-923267,Sarah Rivera,wilsontara@example.org,0468 392 533,Liability,03/02/2025,Vitae eaque autem ipsa quas et non maiores harum nemo ducimus provident a unde modi quaerat.,71820.16,33434.95,Withdrawn,,Megan Diaz
CLM-161324,RAA-707314,Tammie Hanson,cortezkevin@example.com,0479 162 865,Water Damage,23/05/2024,Eveniet possimus mollitia deleniti pariatur fugit quibusdam cupiditate necessitatibus illo rerum esse distinctio.,4758.81,30270.45,Declined,,Lisa Morris
CLM-294851,RAA-171849,Daniel Kennedy,donnacampbell@example.net,0486 169 791,Motor Accident,08/03/2025,Excepturi repellendus quibusdam perferendis dolore dicta ad doloribus labore sed asperiores impedit occaecati deserunt possimus laudantium.,18022.69,,Declined,,Matthew Smith
CLM-789305,RAA-712024,Stacey Osborne,gregoryrubio@example.net,0482 635 423,Water Damage,03/11/2025,Amet dolorum sed itaque reiciendis pariatur voluptates nisi veniam tempora nostrum quaerat magnam rerum.,15717.31,14473.42,Paid,01-02-2026,
CLM-176066,RAA-109767,Christopher Hensley,pgreen@example.net,0468 736 676,Property Damage,29/05/2025,Quisquam maxime occaecati earum aspernatur enim earum eum molestiae consequuntur doloremque.,5957.92,16058.98,Approved,09-09-2025,Michelle Brown
CLM-559469,RAA-974244,John Brown,xprice@example.net,0479 820 409,Fire,09/02/2025,Sequi quisquam fugit ab explicabo quidem sequi.,73797.07,31830.65,Withdrawn,03-08-2025,Jennifer Adkins
CLM-240814,RAA-377312,Stephanie Freeman,ryan06@example.com,0424 209 860,Fire,28/05/2025,Quam saepe ullam voluptatem modi tenetur nihil optio assumenda inventore sint delectus ea.,12080.87,12795.65,Approved,09-24-2025,Jesse Rogers
CLM-612262,RAA-363319,Paul Decker,mary70@example.net,0416 194 749,Storm Damage,11/02/2026,Amet veritatis dolore architecto vero aliquam adipisci dolorum saepe numquam dolores labore beatae veniam iure.,62286.43,,Approved,,Jacob Obrien
CLM-877236,RAA-563298,Paula Martin,daniel04@example.net,0480 822 537,Fire,31/10/2025,Id quaerat asperiores porro occaecati aut quo sed nobis commodi voluptates quos.,1220.39,,Withdrawn,,Jeffrey Wood
CLM-679364,RAA-255287,Alexandria Fisher,xgarcia@example.net,0465 230 142,Water Damage,26/04/2025,Provident ipsa quasi vitae earum repellat modi laboriosam ipsa quasi eaque sequi rerum assumenda.,27666.54,58337.34,Open,07-16-2025,Dana Marshall
CLM-972064,RAA-945964,John Russell,DAVISRYAN@EXAMPLE.COM,0449 345 159,Theft,01/04/2025,Iure quas perferendis voluptates atque illo excepturi similique dolorum deleniti ipsum in eius.,65911.72,5322.08,Under Assessment,07-29-2025,Thomas Ramos
