contract_id,vendor,vendor_abn,description,category,contract_value,award_date,end_date,procurement_method,approved_by
CON-58085,AECOM,15 878 836 551,Hic praesentium pariatur ratione sunt iste adipisci labore.,Waste Management,1647449.2,03/03/2026,2027-01-10,Panel Contract,Joel Jackson
CON-42444,BMD Group,14 560 369 456,Non consectetur aut repellendus reiciendis eveniet officiis recusandae.,Infrastructure,1660991.08,10/11/2025,2027-05-03,Open Tender,Jennifer Gutierrez
CON-87060,McConnell Dowell,88 747 538 269,Molestias voluptate fugit exercitationem repellendus nihil quos.,Waste Management,477707.38,19/07/2025,2026-03-08,Select Tender,Richard Stephens
CON-84720,McConnell Dowell,78 387 711 651,Optio aspernatur ut nemo laborum nihil.,IT Services,1611853.78,23/09/2024,2025-11-18,Direct Negotiation,Justin Short
CON-77425,Veolia Environmental,27 868 904 521,Veritatis architecto autem repellendus quo fugiat laudantium.,Infrastructure,538349.42,07/08/2024,2025-08-15,Select Tender,Ann Montoya
CON-29168,McConnell Dowell,41 879 963 792,Temporibus odio a corporis corrupti minus harum neque deserunt placeat.,Maintenance,269718.26,11/02/2026,2027-09-25,Select Tender,Kelly Gentry
CON-64293,Cardno (now Stantec),67 177 748 913,Quaerat totam voluptatibus nesciunt nostrum magni sed sequi aperiam.,Infrastructure,541090.72,15/11/2024,2026-04-01,Direct Negotiation,Tracy Smith
CON-69597,GHD,51 695 102 989,Autem eligendi adipisci inventore nihil numquam quae illo.,Infrastructure,1755248.13,01/06/2025,2027-09-17,Panel Contract,Daniel Thompson
CON-18300,AECOM,60 323 539 944,Nam sapiente facere impedit enim sit.,IT Services,1396091.51,10/07/2024,2026-02-26,Direct Negotiation,Adam Wong
CON-81737,Jacobs,26 679 972 596,Omnis voluptate consequatur consequatur rem similique tempora possimus ut.,Professional Services,,13/07/2024,2027-04-14,Open Tender,Jordan Coleman
CON-70238,SA Power Networks,25 978 261 551,Harum dolorem incidunt ab libero quasi quae earum unde.,Maintenance,1254228.15,20/12/2025,2026-03-20,Panel Contract,Amanda Johnson
CON-27290,BMD Group,30 995 997 380,Beatae laboriosam porro consequuntur quasi voluptates voluptates quod.,Infrastructure,1378740.8,03/04/2025,2027-05-03,Direct Negotiation,Blake Wu
CON-95054,Downer Group,16 505 740 412,Iusto qui vero aspernatur odio reiciendis est.,IT Services,746828.32,31/05/2024,2025-11-11,Open Tender,Greg Osborne
CON-72496,Veolia Environmental,26 707 331 631,Maiores iusto quasi in vero reiciendis enim alias ullam.,Maintenance,7167.18,23/03/2025,2025-06-30,Open Tender,Monica Elliott
CON-65353,Downer Group,71 172 334 492,Labore cumque amet voluptatibus repellat numquam enim assumenda magni sed eius.,Infrastructure,1635132.51,10/05/2024,2026-08-26,Open Tender,Douglas Hodge
CON-49223,Downer Group,58 892 932 871,Nobis tenetur qui omnis fuga.,IT Services,,04/04/2024,2026-04-20,Select Tender,Richard Young
CON-89995,Downer Group,66 459 839 318,Similique exercitationem assumenda corporis ut culpa libero voluptatibus quo dolores.,IT Services,1128765.97,11/08/2024,2027-06-08,Panel Contract,Mark Clark
CON-38474,Veolia Environmental,22 243 870 226,Amet eaque reprehenderit amet iure labore labore veniam.,Waste Management,887555.82,15/10/2025,2028-01-30,Panel Contract,Cynthia Vega
CON-28327,Fulton Hogan,45 760 186 354,Ea minus ipsa enim reiciendis fugit et minus veritatis.,Waste Management,861630.54,20/01/2025,2026-12-26,Direct Negotiation,Joseph Gomez
CON-96298,BMD Group,36 630 721 621,Nostrum officiis earum earum rem ducimus nesciunt itaque perferendis.,IT Services,1382499.77,08/01/2026,2028-05-12,Panel Contract,Michael Townsend
CON-41370,GHD,59 215 346 611,Perspiciatis voluptatibus et ab ab architecto illum minima.,Waste Management,113865.42,01/05/2025,2025-10-10,Open Tender,Heather Hardy
CON-27299,Cardno (now Stantec),82 530 474 659,Alias nulla animi nisi tempora dolor.,IT Services,1868179.18,05/10/2024,2027-02-23,Panel Contract,Barbara Rosario
CON-12187,Jacobs,18 114 368 320,Consectetur omnis tempore necessitatibus voluptas tempore possimus ducimus iure vel.,Infrastructure,1541882.26,30/05/2024,2027-03-30,Open Tender,Tammy Hill
CON-47550,AECOM,63 533 818 511,Ducimus quos eius aperiam harum voluptatum ducimus repellat.,Infrastructure,798960.17,18/02/2025,2027-03-05,Select Tender,Benjamin Krause
CON-77017,Fulton Hogan,29 649 434 500,Hic officia autem molestiae inventore nostrum autem ipsam ea alias architecto.,Waste Management,623264.24,26/08/2024,2026-09-04,Open Tender,Paula Smith
CON-41278,SA Power Networks,41 188 544 218,Officiis a alias hic corrupti ex.,Maintenance,877784.66,14/04/2025,2027-03-31,Open Tender,Aaron Zimmerman
CON-33022,Veolia Environmental,11 824 240 818,Laboriosam illo quas repellat architecto dolorem fugit porro quod.,Infrastructure,1484678.55,12/11/2025,2026-07-27,Panel Contract,Joseph Frey
