contract_id,vendor,vendor_abn,description,category,contract_value,award_date,end_date,procurement_method,approved_by
CON-63483,Veolia Environmental,13 191 462 667,Maxime iste repudiandae aliquam voluptatum.,Infrastructure,1111706.3,21/09/2025,2027-08-23,Direct Negotiation,Jennifer Moss
CON-64238,Cardno (now Stantec),20 842 672 348,Maiores occaecati aliquid enim id esse repudiandae itaque.,Waste Management,29619.53,31/05/2025,2027-02-13,Select Tender,Louis Brown
CON-45247,BMD Group,44 604 249 164,Iure officia at magnam debitis nesciunt.,IT Services,343155.98,29/04/2025,2026-10-16,Direct Negotiation,Kimberly Long
CON-20082,McConnell Dowell,42 352 838 740,Ad iste tempore tempore sunt at eum officiis quae.,Maintenance,971041.47,30/11/2024,2026-10-29,Select Tender,Nicholas Davis
CON-10887,Cardno (now Stantec),52 961 735 489,Odio assumenda provident quas voluptate nostrum cum mollitia aliquam.,Professional Services,275301.6,23/09/2025,2027-03-17,Direct Negotiation,George Savage
CON-95332,Jacobs,27 407 428 717,Cum corporis quisquam amet est quas.,IT Services,1647952.8,23/01/2026,2027-08-26,Direct Negotiation,Donna White
CON-51830,BMD Group,98 748 602 689,Vero a quisquam accusamus libero libero.,IT Services,799487.97,19/02/2026,2027-04-18,Panel Contract,Lisa Snyder
CON-57843,Veolia Environmental,82 304 706 658,Optio iste ipsam nobis ab sunt eius occaecati reprehenderit dignissimos.,IT Services,1572803.73,08/09/2024,2026-11-05,Open Tender,Anthony Bailey
CON-37479,GHD,47 951 809 170,Pariatur saepe error ullam aliquid.,Maintenance,925936.33,14/07/2024,2026-09-01,Panel Contract,Christopher Powers
CON-43119,Downer Group,64 908 486 175,Nemo natus vitae quibusdam facere alias quisquam eum tempore reprehenderit.,Maintenance,609151.12,11/07/2025,2027-06-13,Panel Contract,Sarah Brown
CON-64827,AECOM,14 909 468 818,Commodi similique eveniet impedit distinctio distinctio.,Waste Management,1071062.97,24/03/2025,2027-02-20,Open Tender,Kenneth Krause
CON-97122,McConnell Dowell,31 762 727 145,Laborum porro ut voluptates enim.,Waste Management,500220.78,08/05/2025,2027-05-28,Panel Contract,Emily Fox
CON-66420,Veolia Environmental,11 200 364 327,Unde nostrum libero quas libero repellat sunt doloremque.,Waste Management,666535.42,21/07/2025,2027-11-22,Select Tender,Cory Wilson
CON-99070,Jacobs,98 612 254 453,Reiciendis qui dignissimos nostrum impedit aliquid expedita rem distinctio odit porro.,Infrastructure,785312.67,20/03/2025,2026-10-25,Open Tender,Barry Evans
CON-21253,Veolia Environmental,28 456 419 451,Quisquam beatae ex id necessitatibus vero rerum deserunt.,Maintenance,1841492.35,25/05/2025,2027-11-04,Select Tender,Tammy Mendoza
CON-22795,GHD,99 563 426 168,Officia laboriosam occaecati tempora modi.,Professional Services,,27/03/2025,2025-08-09,Open Tender,Richard Gutierrez
CON-24334,Downer Group,41 628 278 665,Rerum error quam et modi.,IT Services,689440.51,21/10/2025,2026-12-23,Panel Contract,Michael Marsh
CON-63090,Downer Group,33 755 773 542,Architecto corrupti sapiente excepturi fugiat modi cumque non.,Maintenance,467551.82,11/02/2026,2026-06-10,Select Tender,Bruce Patton
CON-10583,Fulton Hogan,36 385 870 820,Quae earum assumenda soluta fuga repudiandae esse minima.,Infrastructure,861957.92,18/11/2024,2026-09-30,Open Tender,James Johnson
CON-57945,McConnell Dowell,35 568 216 368,Ipsam ad laboriosam magnam deleniti.,Maintenance,1076093.58,27/08/2024,2026-05-19,Direct Negotiation,Morgan Mills
CON-86939,Veolia Environmental,54 460 965 568,Corporis sit reprehenderit vel perspiciatis consequatur quam itaque.,Waste Management,1224560.3,16/11/2025,2026-08-09,Direct Negotiation,Kelly Smith
CON-98094,Downer Group,50 220 344 412,Porro nisi assumenda iure aliquid.,Infrastructure,1182385.89,18/03/2026,2026-12-20,Direct Negotiation,Mary Edwards
CON-64819,Jacobs,27 688 492 533,Odit distinctio dicta enim minus quo perferendis.,IT Services,1024095.61,15/06/2025,2027-01-24,Select Tender,Christopher Wilson
CON-28388,Downer Group,50 962 561 734,Maiores dignissimos expedita et consequuntur provident eligendi doloribus architecto nostrum.,Infrastructure,981835.84,20/07/2025,2028-03-22,Direct Negotiation,Jeremy Anderson
CON-35575,Cardno (now Stantec),81 617 768 606,Autem amet incidunt debitis nisi.,Maintenance,971794.79,24/03/2025,2027-05-24,Panel Contract,Sara Lyons
CON-74054,Downer Group,20 678 131 914,Est repellendus quae perferendis modi voluptate quidem iure.,IT Services,1680584.15,15/07/2025,2026-08-08,Open Tender,Robert Gillespie
CON-32047,GHD,82 860 891 884,Iste placeat quae iure doloremque.,Maintenance,1077529.19,22/03/2025,2027-01-03,Open Tender,Scott Jensen
